value,dwin,hnai
သြဇာညောင်း,,
သွေးဆင်း,,
အကဲခတ်,,
အကဲဖြတ်,,
အဆင့်မြှင့်,,
အတွင်းကျ,,
အန္တရာယ်ကင်း,,
အပြစ်ပုံချ,,
အပြုသဘောမဆောင်,,
အမိန့်ပေး,,
အမှုစစ်,,
အရက်သောက်သုံး,,
အရေးအကြီး,,
အသက်ရှင်မကျန်ရစ်,,
အသားပေးဖော်ပြ,,
အသိမှတ်မပြု,,
အသိုက်ဆောက်,,
အာသာဖြေ,,
အားဖြည့်,,
အိပ်ပျော်,,
အော့အန်,,
အံ့ဩစရာ,,
ပြတ်တောက်,13,
ခုခံ,12,
ဖမ်း,8,
ကြားဝင်,7,
ဆေးလိပ်,7,
ကျော်ဖြတ်,6,
စူးစမ်း,6,
စွဲဆို,6,
ထူထောင်,6,
နှုတ်ထွက်,6,
လောင်ကျွမ်း,6,
ဝယ်ယူ,6,
သင့်လျော်,6,
သောင်တင်,6,
ကမ်းလှမ်း,5,
ကျရှုံး,5,
ခန့်အပ်,5,
စိန်ခေါ်,5,
ဆက်နွယ်,5,
တိုက်ခတ်,5,
ထိုင်လျှက်စီး,5,
ထောက်လှမ်း,5,
နောက်ကျ,5,
ပါရှိ,5,
ပိုင်,5,
ပေးအပ်,5,
ပြ,5,
ပြို,5,
ဖြုတ်ချ,5,
လိုက်ပါ,5,
လျင်မြန်,5,
လျော့နည်း,5,
သပိတ်မှောက်,5,
သယ်ယူ,5,
သိမ်းဆည်း,5,
အရေးယူ,5,
အားပေး,5,
အောင်နိုင်,5,
ကောက်ချက်ချ,4,
ကျင့်,4,
ကြမ်းတမ်း,4,
ခေါ်ဆောင်,4,
ချေပ,4,
ဂိုးသွင်း,4,
ဆွတ်ခူး,4,
ဆွဲ,4,
တည်ငြိမ်,4,
တားဆီး,4,
တောင်းခံ,4,
တံခွန်စိုက်,4,
ထိုးဖောက်,4,
ထူထပ်,4,
နိမ့်ကျ,4,
ပြန့်ကျဲ,4,
ဖမ်းမိ,4,
ဖိတ်ခေါ်,4,
ဖြစ်ပေါ်လာ,4,
မတ်တပ်စီး,4,
မျှတ,4,
မြင်တွေ့,4,
မှတ်ပုံတင်,4,
ရက်စက်,4,
လျာထား,4,
လှုပ်ခတ်,4,
ဝန်းရံ,4,
အကောင်အထည်ဖော်,4,
အခြေချ,4,
အမည်တပ်,4,
ကူးယူ,3,
ကောက်ယူ,3,
ကြည့်ရှု,3,
ခေါင်းချင်းဆိုင်,3,
ချည်,3,
ချုပ်နှောင်,3,
စည်းလုံး,3,
ဆို,3,
ဉီးတည်,3,
ညီ,3,
တပ်,3,
တိုက်ထုတ်,3,
တိုးတတ်,3,
တုန်လှုပ်,3,
ထုတ်လွှင့်,3,
ထောင်ချ,3,
နေရာယူ,3,
နှင်ထုတ်,3,
နှောင့်နှေး,3,
နှောင့်ယှက်,3,
ပြောင်း,3,
ပွင့်လင်း,3,
မှတ်သား,3,
