,count,count,count
value,တွင်,မှာ,၌
ဆူပူ,1.0,,
ဆောက်,1.0,,
ဆောက်တည်,1.0,,
ဆောက်လုပ်,9.0,2.0,
ဆောင်,2.0,1.0,
ဆောင်ရွက်,20.0,3.0,4.0
ဆေးကုသခံ,1.0,,
ဆေးစပ်,1.0,,
ဆေးရုံတင်,1.0,1.0,
ဆေးလိပ်,7.0,,
ဆံ့,,,1.0
ဆွ,1.0,,
ဆွတ်ခူး,4.0,,
ဆွေး,1.0,,
ဆွေးနွေး,26.0,2.0,2.0
ဆွေးမြေ့,1.0,,
ဆွဲ,4.0,,
ဆွဲကြိုးချ,,,1.0
ဆွဲခေါ်ဖမ်းဆီး,,1.0,
ဆွဲငင်,1.0,,
ဆွဲဆောင်,1.0,1.0,
ဆွဲတင်,1.0,,
ဆွဲယူ,3.0,,1.0
ဇာတ်ကြောင်းပြန်,1.0,,
ဇာတ်မတူ,1.0,,
ဈေးကျ,1.0,,
ဈေးတက်,1.0,,
ဈေးဝယ်,1.0,,
ဈေးဝယ်ထွက်,,,1.0
ဉီးဆောင်,2.0,1.0,1.0
ဉီးတည်,3.0,,
ညစ်ညမ်း,,2.0,
ညဥ်းဆဲ,1.0,,
ညာပစ်,1.0,,
ညီ,3.0,,
ညီညွတ်,1.0,,
ညီမျှ,7.0,1.0,
ညံ့ဖျင်း,1.0,,
ညွှန်ကြား,6.0,1.0,
ညွှန်ပြ,1.0,,
ညွှန်ပြဝေဖန်,1.0,,
ညွှန်းဆိုခဲ့ပြီး,1.0,,
ညှင်းပန်း,7.0,,1.0
ညှင်းပမ်းနှိပ်စက်,1.0,,
ညှိနှိုင်း,4.0,1.0,1.0
ညှိုနှိုင်း,2.0,,
တက်,14.0,7.0,2.0
တက်ကြွ,10.0,1.0,1.0
တက်ရောက်,4.0,2.0,2.0
တင့်တယ်,1.0,,
တင်,23.0,9.0,5.0
တင်ဆက်,5.0,1.0,2.0
တင်ဆက်ကပြ,,1.0,
တင်ဆက်ရ,1.0,,
တင်ဆောင်,1.0,,
တင်ထား,1.0,,
တင်ပြ,20.0,4.0,3.0
တင်လာ,1.0,,
တင်သွင်း,11.0,1.0,2.0
တင်းကျပ်,3.0,1.0,
တင်းမာ,2.0,1.0,1.0
တင်းမား,1.0,,
တစ်ကိုယ်ကောင်းဆန်,,1.0,
တစ်ကျွန်းကျ,1.0,,
တစ်ထပ်တည်းတူ,1.0,,
တစ်မူထူးခြား,1.0,,
တစ်လုံးတည်း,1.0,,
တစ်ဟုန်ထိုးတက်,1.0,,
တစ်ဦးတည်း,1.0,,
တည်,4.0,,1.0
တည်ခင်း,1.0,1.0,
တည်ငြိမ်,4.0,,
တည်ငြိမ်စပြု,1.0,,
တည်ဆောက်,20.0,7.0,2.0
တည်တံ့,,1.0,
တည်ထောင်,12.0,1.0,2.0
တည်ပြု,,1.0,
တည်မြဲ,2.0,,
တည်ရှိ,62.0,11.0,6.0
တည်း,1.0,,
တည်းခို,1.0,,1.0
တည်းဖြတ်,3.0,2.0,
တတ်,3.0,3.0,
တတ်ကြွ,1.0,1.0,
တန်,1.0,,1.0
တန်ဖိုးရှိ,1.0,,
တပ်,3.0,,
တပ်ဆင်,11.0,3.0,
တပ်လှန့်,1.0,1.0,
တရားစီရင်,3.0,1.0,1.0
တရားစွဲ,8.0,,1.0
တရားစွဲဆို,1.0,,
တရားမဝင်,1.0,1.0,
တရားမျှတ,3.0,3.0,1.0
တရားရင်ဆိုင်,1.0,1.0,
တရားရှုံး,1.0,,
တရားဝင်,29.0,9.0,2.0
တရားသေလွှတ်,2.0,,
တရားဟော,1.0,,
တာဝန်ခံ,1.0,,
တာဝန်ချထား,1.0,,
တာဝန်ပေး,1.0,,
တာဝန်ရပ်စဲ,1.0,,
တားဆီး,4.0,,
တားမြစ်,5.0,3.0,4.0
တားမြစ်ထား,1.0,,
တိကျ,2.0,3.0,
တိတ်ဆိတ်,4.0,1.0,
တိတ်ဆိတ်ငြိမ်သက်,,,1.0
တိတ်ဆိတ်စွာ,,,1.0
တိတ်လန့်,1.0,,
တိမ်းညွတ်,1.0,,
တိမ်းမှောက်,2.0,2.0,1.0
တိမ်းရှောင်,1.0,,
တို,1.0,,
တိုက်,31.0,4.0,3.0
တိုက်ခတ်,5.0,,
တိုက်ခိုက်,83.0,17.0,6.0
တိုက်စား,1.0,,
တိုက်တွန်း,2.0,1.0,
တိုက်ထုတ်,3.0,,
တိုက်ဖျက်,2.0,,
တိုင်ပင်,1.0,,
တိုင်ပင်လိမ့်,1.0,,
တိုင်းတန်,1.0,,
တိုင်းတာ,2.0,1.0,1.0
တိုရန်တိုနီ,,2.0,
တိုး,18.0,4.0,1.0
တိုးချဲ့,,1.0,1.0
တိုးတက်,26.0,7.0,3.0
တိုးတတ်,3.0,,
တိုးတတ်ဖွံ့ဖြိုး,1.0,,
တိုးပွား,1.0,,
တိုးပွားလာ,1.0,,
တိုးပွားသင့်,1.0,,
တိုးမြင့်,3.0,,1.0
တိုးမြင့်လာ,1.0,,
တိုးမြှင့်,10.0,1.0,
တိုးမြှင့်,1.0,,
တိုးလာ,3.0,1.0,
တီထွင်,5.0,3.0,
တီးခတ်,1.0,,1.0
တုန့်ပြန်,1.0,,
တုန်ခါ,1.0,1.0,
တုန်လှုပ်,3.0,,
တုပြိုင်,1.0,,
တုံ့နှေး,,1.0,
တုံ့ပြန်,7.0,2.0,
တူ,5.0,2.0,
တူညီ,16.0,11.0,2.0
တူညီသွား,,1.0,
တူး,3.0,1.0,
တူးဖော်,4.0,1.0,1.0
တူးဖော်လို,1.0,,
တောက်,2.0,,
တောက်ပ,1.0,1.0,
တောက်လောင်,,1.0,
တောင့်တင်း,1.0,,
တောင်း,1.0,2.0,
တောင်းခံ,4.0,,
တောင်းဆို,7.0,2.0,1.0
တောင်းပန်,3.0,1.0,1.0
တောပြုန်း,,1.0,
တောမီးလောင်,,,1.0
တော်,1.0,,
တေးရေး,1.0,,
တံခွန်စိုက်,4.0,,
တံဆိပ်ခတ်,,1.0,
တံဖြုတ်,1.0,,
တွန်း,1.0,,
တွန်းပို့,1.0,,
တွန်းလှန်,1.0,,
တွယ်ကပ်,2.0,,
တွေဆုံ,1.0,,
တွေ့,63.0,20.0,12.0
တွေ့ကြုံ,1.0,,
တွေ့ဆုံ,25.0,7.0,6.0
တွေ့မြင်,6.0,2.0,1.0
တွေ့ရ,2.0,,
တွေ့ရခဲ,,1.0,
တွေး,,1.0,
တွဲ,1.0,,
တွဲချိတ်,1.0,,
တွဲချီထား,1.0,,
တွဲဖက်,2.0,,
ထ,,1.0,
ထက်နိမ့်,,,1.0
ထက်သန်,3.0,2.0,
ထင်,2.0,2.0,
ထင်မြင်,1.0,2.0,
ထင်မှတ်,1.0,,
ထင်ရှား,12.0,3.0,2.0
ထင်ရှားပြတ်သား,,1.0,
ထင်ဟပ်ပြသ,,1.0,
ထည့်,22.0,1.0,3.0
ထည့်ဝင်,,1.0,
ထည့်သွင်း,5.0,,1.0
ထည်သွင်း,1.0,,
ထန်,1.0,1.0,
ထပ်,,1.0,
ထပ်ခါ,1.0,,
ထပ်ချဲ့,1.0,,
ထပ်တိုး,1.0,1.0,
ထပ်တူကျ,1.0,,
ထပ်ထည့်,1.0,,
ထပ်ပေါင်း,1.0,1.0,
ထမ်းဆောင်,26.0,6.0,3.0
ထမြည်,1.0,,
ထား,32.0,9.0,6.0
ထိကာလွဲချော်,,1.0,
ထိခတ်,1.0,,
ထိခိုက်,24.0,7.0,4.0
ထိခိုက်ခံစား,1.0,,
ထိခိုက်ဒဏ်ရာရ,1.0,,
ထိခိုက်မခံ,1.0,,
ထိတ်,,,1.0
ထိတ်လန့်,1.0,3.0,
ထိတ်လန့်စရာကောင်း,,1.0,
ထိတွေ့,2.0,1.0,1.0
ထိန်ချန်,1.0,,
ထိန်သိမ်း,1.0,,
ထိန်း,2.0,,1.0
ထိန်းချုပ်,19.0,4.0,2.0
ထိန်းချူပ်,1.0,,
ထိန်းချူပ်ပေး,1.0,,
ထိန်းသိမ်း,31.0,11.0,6.0
ထိန်းသိမ်းထား,1.0,,
ထိန်းသိမ်းသွား,1.0,,
ထိပ်တိုက်တွေ့ကြုံရ,,1.0,
ထိပြီး,1.0,,
ထိမ်းမြား,1.0,,
ထိမှန်,6.0,2.0,
ထိရောက်,2.0,1.0,
ထိုက်တန်,,1.0,
ထိုင်,3.0,2.0,
ထိုင်လျက်စကိတ်စီး,1.0,,
ထိုင်လျက်နှင်းလျှောစီး,1.0,,
ထိုင်လျှက်စီး,5.0,,
ထိုသို့,1.0,,
ထိုး,2.0,,
ထိုးခံ,1.0,,
ထိုးစစ်ဆင်,2.0,,
ထိုးဆင်းကျ,,1.0,
ထိုးဆွ,,1.0,
ထိုးပြ,,1.0,
ထိုးဖောက်,4.0,,
ထိုးသတ်,,,1.0
ထိုးသွင်း,,1.0,
ထီပေါက်,1.0,,
ထုတ်,51.0,10.0,4.0
ထုတ်ပစ်,1.0,,
ထုတ်ပယ်,2.0,,
ထုတ်ပိုး,,1.0,
ထုတ်ပေး,,,1.0
ထုတ်ပြန်,38.0,5.0,2.0
ထုတ်ဖော်,4.0,,4.0
ထုတ်ဖော်အသိပေးရန်,1.0,,
ထုတ်ယူ,,1.0,2.0
ထုတ်လုပ်,23.0,6.0,5.0
ထုတ်လုပ်နေကြ,1.0,,
ထုတ်လွင့်,2.0,1.0,1.0
ထုတ်လွှင့်,3.0,,
ထုတ်လွှင့်ပြ,,,1.0
ထုတ်ဝေ,23.0,7.0,1.0
ထုတ်ဝေခဲ,1.0,,
ထုံမွှန်း,1.0,,
ထူထပ်,4.0,,
ထူထောင်,6.0,,
ထူးချွန်,2.0,,
ထူးခြား,6.0,1.0,1.0
ထူးဆန်း,,3.0,
ထောက်ကန်,,1.0,
ထောက်ခံ,17.0,1.0,1.0
ထောက်ပံ့,25.0,8.0,1.0
ထောက်ပြ,1.0,,
ထောက်လှမ်း,5.0,,
ထောင်,2.0,,
ထောင်ကျ,1.0,,
ထောင်ချ,3.0,,
ထောင်ချခံ,1.0,,1.0
ထောင်ဒဏ်ကျ,1.0,,
ထောင်ပေါင်းစွာ,1.0,,
ထောင်လွှား,1.0,,
ထဲ့,1.0,,
ထွက်,20.0,6.0,1.0
ထွက်ကျလာ,1.0,,
ထွက်ခွာ,20.0,2.0,1.0
